SkyLift Aviation is planning to launch an air taxi (VTOL) service in a metropolitan area and needs to decide where to build vertistop/vertiport stations.
**Goal:** Select the **minimum number of station locations** from a set of candidate sites to **cover at least a target percentage of estimated air taxi demand**, subject to a maximum on-road travel distance constraint between passengers and their nearest station.

**Background:**
- Air taxi passengers need on-road first/last mile connections to reach a vertistop (pickup station) and from a vertistop (drop-off station).
- Each passenger trip has a pickup location and a drop-off location. A trip is "covered" only if **both** the pickup and drop-off are within the on-road travel limit of some open station.
- The company wants to minimize infrastructure investment by opening as few stations as possible while ensuring a minimum demand fulfillment (coverage) rate.
- Candidate station sites are pre-screened based on feasibility (open space, zoning, multimodal transport hubs, landmarks, airports).

**Operational Parameters:**
- Maximum on-road travel distance to nearest station: $R = 1.0$ mile
- Minimum demand fulfillment rate: $CS = 70\%$ (at least 70% of eligible trips must be covered)
- Air taxi speed: 170 mph (used for demand estimation, not for location model)

**Data - Candidate Station Sites (10 sites):**
| Site | Name                    | Latitude  | Longitude  | Fixed Cost ($K/year) |
|------|-------------------------|-----------|------------|----------------------|
| S1   | JFK Airport             | 40.6413   | -73.7781   | 500                  |
| S2   | LaGuardia Airport       | 40.7769   | -73.8740   | 450                  |
| S3   | Central Park South      | 40.7648   | -73.9730   | 600                  |
| S4   | World Trade Center      | 40.7127   | -74.0134   | 550                  |
| S5   | Times Square            | 40.7580   | -73.9855   | 580                  |
| S6   | Brooklyn Heights        | 40.6960   | -73.9936   | 350                  |
| S7   | Yankee Stadium          | 40.8296   | -73.9262   | 300                  |
| S8   | Newark Airport          | 40.6895   | -74.1745   | 480                  |
| S9   | Washington Square       | 40.7308   | -73.9973   | 400                  |
| S10  | East Harlem             | 40.7957   | -73.9389   | 320                  |

**Data - Estimated Air Taxi Demand (20 trips during peak hour):**
Each trip has a pickup (lat, lon) and drop-off (lat, lon). A trip is covered if both pickup and drop-off are within $R$ miles of at least one open station.

| Trip | Pickup Lat | Pickup Lon | Dropoff Lat | Dropoff Lon |
|------|-----------|------------|-------------|-------------|
| T1   | 40.7654   | -73.9760   | 40.6420     | -73.7790    |
| T2   | 40.7590   | -73.9840   | 40.7775     | -73.8730    |
| T3   | 40.7130   | -74.0120   | 40.6410     | -73.7785    |
| T4   | 40.7600   | -73.9870   | 40.7120     | -74.0140    |
| T5   | 40.7650   | -73.9720   | 40.8300     | -73.9270    |
| T6   | 40.6950   | -73.9950   | 40.6900     | -74.1750    |
| T7   | 40.7300   | -73.9980   | 40.7770     | -73.8750    |
| T8   | 40.7960   | -73.9400   | 40.6415     | -73.7780    |
| T9   | 40.7580   | -73.9850   | 40.6960     | -73.9940    |
| T10  | 40.8290   | -73.9260   | 40.7650     | -73.9740    |
| T11  | 40.7650   | -73.9735   | 40.7310     | -73.9970    |
| T12  | 40.6420   | -73.7785   | 40.7590     | -73.9860    |
| T13  | 40.7770   | -73.8745   | 40.7130     | -74.0130    |
| T14  | 40.7125   | -74.0140   | 40.8295     | -73.9265    |
| T15  | 40.6895   | -74.1740   | 40.7650     | -73.9725    |
| T16  | 40.7955   | -73.9385   | 40.7585     | -73.9845    |
| T17  | 40.7310   | -73.9975   | 40.6950     | -73.9940    |
| T18  | 40.7650   | -73.9750   | 40.6895     | -74.1748    |
| T19  | 40.6415   | -73.7788   | 40.7960     | -73.9395    |
| T20  | 40.7580   | -73.9855   | 40.7305     | -73.9978    |

**Objective:** Minimize the total fixed cost of opening stations while ensuring at least 70% of trips (i.e., at least 14 out of 20) are covered.
